RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         8006     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.998D+03  5.891D+08
    1    2  6004  6003  ---    0   1.0D+00   5.8D+03  5.000D+03  4.055D+08
    2    3     1  3125  bnd    0   1.0D+00   3.5D+01  4.999D+03  3.764D+08
    3    4     1  3125  bnd    0   1.0D+00   4.0D+00  4.999D+03  3.757D+08
    4    5     1  3125  con    0   1.0D+00   3.0D+00  4.999D+03  3.755D+08
    5    6     1  3125  con    0   1.0D+00   9.3D-01  4.998D+03  3.755D+08
    6    7     1  3125  con    0   1.0D+00   7.2D-01  3.127D+03  3.755D+08
    7    8     1  3125  con    0   1.0D+00   6.9D-01  1.863D+03  3.755D+08
    8    9     1  3125  con    0   1.0D+00   1.7D+00  5.170D+02  3.755D+08
    9   10     1  3125  con    0   1.0D+00   4.5D+00  1.891D+01  3.755D+08
   10   11     1  3125  bnd    0   1.0D+00   1.7D+01  3.144D+00  3.754D+08
   11   12     1  3125  bnd    0   1.0D+00   8.2D+00  3.144D+00  3.753D+08
   12   13     1  3125  con    0   1.0D+00   6.4D+00  3.131D+00  3.753D+08
   13   14     1  3125  bnd    0   1.0D+00   1.4D+01  3.144D+00  3.752D+08
   14   15     1  3125  bnd    0   1.0D+00   4.3D+00  3.144D+00  3.752D+08
   15   16     1  3125  bnd    0   1.0D+00   3.3D+00  3.144D+00  3.751D+08
   16   17     1  3125  bnd    0   1.0D+00   4.5D+00  3.144D+00  3.751D+08
   17   18     1  3125  bnd    0   1.0D+00   3.3D+00  3.144D+00  3.750D+08
   18   19     1  3125  bnd    0   1.0D+00   3.1D+00  3.144D+00  3.750D+08
   19   20     1  3125  bnd    0   1.0D+00   1.2D+00  3.144D+00  3.750D+08
   20   21     1  3125  bnd    0   1.0D+00   4.5D+00  3.144D+00  3.750D+08
   21   22     1  3125  con    0   1.0D+00   1.8D+00  3.139D+00  3.750D+08
   22   23     1  3125  bnd    0   1.0D+00   2.0D+00  3.144D+00  3.749D+08
   23   24     1  3124  bnd    0   1.0D+00   2.2D+00  3.144D+00  3.749D+08
   24   25     1  3124  bnd    0   1.0D+00   2.4D+00  3.144D+00  3.749D+08
   25   26     1  3124  bnd    0   1.0D+00   1.1D+00  3.144D+00  3.749D+08
   26   27     1  3124  bnd    0   1.0D+00   1.1D+00  3.144D+00  3.749D+08
   27   28     1  3124  bnd    0   1.0D+00   1.7D+00  3.144D+00  3.749D+08
   28   29     1  3124  bnd    0   1.0D+00   3.3D+00  3.144D+00  3.749D+08
   29   30     1  3124  con    0   1.0D+00   6.7D-01  3.143D+00  3.749D+08
   30   31     1  3124  con    0   1.0D+00   6.8D-01  3.126D+00  3.749D+08
   31   32     1  3124  bnd    0   1.0D+00   1.7D+00  3.144D+00  3.749D+08
   32   34     1  3124  bnd    1   5.2D-01   1.3D+00  3.131D+00  3.749D+08
   33   35     1  3124  con    0   1.0D+00   9.2D-01  3.121D+00  3.749D+08
   34   36     1  3124  bnd    0   1.0D+00   8.6D-01  3.144D+00  3.749D+08
   35   37     1  3124  bnd    0   1.0D+00   1.2D+00  3.144D+00  3.749D+08
   36   38     1  3124  bnd    0   1.0D+00   1.9D+00  3.144D+00  3.749D+08
   37   39     1  3124  con    0   1.0D+00   3.9D-01  3.139D+00  3.749D+08
   38   40     1  3124  con    0   1.0D+00   4.6D-01  3.139D+00  3.749D+08
   39   41     1  3124  bnd    0   1.0D+00   8.2D-01  3.144D+00  3.749D+08
   40   42     1  3124  bnd    0   1.0D+00   1.1D+00  3.144D+00  3.749D+08
   41   43     1  3124  bnd    0   1.0D+00   1.1D+00  3.144D+00  3.749D+08
   42   44     1  3124  con    0   1.0D+00   3.6D-01  3.129D+00  3.749D+08
   43   45     1  3124  con    0   1.0D+00   1.2D+00  3.124D+00  3.749D+08
   44   46     1  3124  bnd    0   1.0D+00   1.3D+00  3.144D+00  3.749D+08
   45   47     1  3124  con    0   1.0D+00   3.5D-01  3.114D+00  3.749D+08
   46   48     1  3124  con    0   1.0D+00   2.6D-01  3.113D+00  3.749D+08
   47   49     1  3124  con    0   1.0D+00   5.4D-01  3.097D+00  3.749D+08
   48   50     1  3124  con    0   1.0D+00   8.7D-01  3.137D+00  3.749D+08
   49   52     1  3124  bnd    1   4.7D-01   6.9D-01  3.138D+00  3.749D+08
   50   53     1  3124  con    0   1.0D+00   4.7D-01  3.138D+00  3.749D+08
   51   54     1  3124  con    0   1.0D+00   4.6D-01  3.137D+00  3.748D+08
   52   55     1  3124  con    0   1.0D+00   5.8D-01  3.135D+00  3.748D+08
   53   56     1  3124  bnd    0   1.0D+00   9.4D-01  3.144D+00  3.748D+08
   54   57     1  3124  con    0   1.0D+00   3.3D-01  3.128D+00  3.748D+08
   55   58     1  3124  con    0   1.0D+00   3.0D-01  3.127D+00  3.748D+08
   56   59     1  3124  con    0   1.0D+00   3.5D-01  3.123D+00  3.748D+08
   57   60     1  3124  bnd    0   1.0D+00   5.5D-01  3.144D+00  3.748D+08
   58   61     1  3124  bnd    0   1.0D+00   4.8D-01  3.144D+00  3.748D+08
